FIPS,parish_name,Population,Median_Household_Income,Percent_less_18_yo,Percent_65_over,Percent_Black,Percent_American_Indian_Alaska_Native,Percent_Asian,Percent_Native_Hawaiian_Other_Pacific_Islander,Percent_Hispanic,Percent_Non_Hispanic_White,Percent_Not_Proficient_in_English,Life_Expectancy,Average_Daily_PM2_5,Weighted_RH_Ave,Weighted_IH_Ave,COVID19_Cases,COVID19_Deaths,Deaths_per_10000,Deaths_Black,Deaths_White,Deaths_Other,Cases_Black,Cases_White,Cases_Other,Black_Deaths_per_10000,White_Deaths_per_10000,Other_Deaths_per_10000,Age_Adjusted_Cancer_Incidence_Rate_cases_per_100k,Percent_Frequent_Physical_Distress,Percent_Frequent_Mental_Distress,Percent_Adults_with_Diabetes,Percent_Food_Insecure,Number_Drug_Overdose_Deaths,Drug_Overdose_Mortality_Rate,Percent_Uninsured,Average_Grade_Performance,Average_Grade_Performance_Asian,Average_Grade_Performance_Black,Average_Grade_Performance_Hispanic,Average_Grade_Performance_White,Average_Grade_Performance,Average_Grade_Performance_Asian,Average_Grade_Performance_Black,Average_Grade_Performance_Hispanic,Average_Grade_Performance_White,Percent_Enrolled_in_Free_or_Reduced_Lunch,Segregation_index_black_white,Segregation_Index_non_white_white,Percent_Female,Percent_Rural,Percent_Fair_or_Poor_Health,Average_Number_of_Physically_Unhealthy_Days,Average_Number_of_Mentally_Unhealthy_Days,Percent_Smokers,Percent_Adults_with_Obesity,Food_Environment_Index,Percent_Physically_Inactive,Percent_With_Access_to_Exercise_Opportunities,High_School_Graduation_Rate,Percent_some_college,Percent_Unemployed,Percent_Children_in_Poverty,Eightyth_Percentile_Income,twentyth_Percentile_Income,Income_Ratio,Percent_Single_Parent_Households,Percent_Severe_Housing_Problems,Cancer_Alley
22001,Acadia Parish,62190,40484,25.84659913,15.26129603,17.92571153,0.384306159,0.319987136,0.032159511,2.727126548,77.26804953,1.24554854,75.4,9.4,0.564066401,0.010697736,6333,191,30.71233317,40,147,3,1343,3267,1150,35.90986624,29.71437812,15.32175689,495.5,14.75431307,15.67534089,11.4,15.1,20,10.67093504,11,3.037877431,,2.633043908,3.031438734,3.186963459,3.020822017,,2.694260314,3.030337236,3.132442027,46.1561928,47.9413646,44.87723456,51.2,51.69896233,20.89003532,4.804191946,4.996099567,21.53408807,38.4,7.8,35.3,42.5250514,90.9,44,5.373246493,35.4,95846,16512,5.804626938,33.41538462,12.27102185,0
22003,Allen Parish,25605,44395,22.04256981,15.01269283,22.31595392,2.319859403,0.667838313,0.035149385,2.25346612,70.97051357,1.821433027,74.9,9.2,0.631587354,0.009805207,3107,91,35.53993361,19,70,2,664,1604,516,38.9503895,37.03115908,10.63829787,487.6,13.97128548,14.88201172,19.2,12.9,11,14.30243141,9,3.269036499,,2.972735835,,3.366116304,2.982317044,,2.549868188,,3.114297926,50.0695088,38.82998345,39.51041723,43.3,69.42244993,21.31215351,4.607418733,4.941984704,22.03898763,37,7.3,40.7,73.18739326,92.3,45,5.623861567,22.7,86633,17063,5.077243158,38.0159556,11.48477157,0
22005,Ascension Parish,124672,77758,26.7670367,11.81821099,23.23536961,0.466022844,1.406891684,0.085825205,5.743069815,68.14280673,1.09782657,78.7,10,0.679779738,0.019017918,11704,162,12.99409651,66,91,4,3042,7120,992,25.00189408,10.29458347,6.267627703,473.5,12.28177307,12.93342567,13.2,10.2,91,24.64742001,7,3.1189289,,2.654876635,2.740330696,3.390339327,2.947069708,,2.533000069,2.626598742,3.192701776,34.24830131,42.70645838,37.35698791,50.6,13.21643427,16.66091447,4.100894136,4.302130303,18.1554528,33.1,8.1,30.8,72.70624446,88.1,68,4.142650725,14.2,138775,28629,4.847357575,31.41947726,10.83241116,0
22007,Assumption Parish,22300,48120,21.48878924,18.02690583,29.38116592,0.757847534,0.430493274,0.067264574,3.143497758,65.44843049,0.884296751,77.6,9.3,0.572153494,0.012786491,2149,35,15.69506726,16,19,0,791,1248,97,23.50521522,12.30649653,0,490,14.22997282,15.26705394,16.3,14.7,13,19.25326935,10,2.759845736,,2.438771234,,3.011623025,2.72128688,,2.37805898,,3.014643837,69.58777746,50.79217958,45.61022981,51.5,44.99380898,21.59669348,4.746825567,5.006212054,21.03219722,42.1,6.7,34.1,35.36996712,89.7,38,6.665921038,28.7,99098,17223,5.75381757,45.88423793,9.913544669,0
22009,Avoyelles Parish,40462,37731,23.5900351,16.92946468,29.55612674,1.183826801,0.642578222,0.017300183,1.987049577,64.98195838,0.451609515,73.8,9.2,0.50132947,0.009174141,4027,122,30.15174732,42,80,0,1389,1946,473,35.68697425,29.48765205,0,443.7,15.67348346,16.29730591,13.1,17.4,22,17.95053811,10,2.575497897,,2.060242129,,2.929968878,2.510501687,,2.157409876,,2.769649058,58.19255372,33.08227584,30.19340826,49.6,63.78199796,24.49473427,5.151702069,5.331022532,22.94656752,44.7,6.6,35.8,24.35766406,79.3,42,5.720629531,36.9,88221,14227,6.200955929,44.41431105,13.58641359,0
22011,Beauregard Parish,37253,57005,24.61009852,15.75980458,12.01513972,1.234799882,0.657665155,0.118111293,3.817142244,80.21367407,0.25919562,74.4,9.4,0.65726698,0.010902579,3075,74,19.86417201,10,61,2,333,1898,458,21.83406114,20.01115376,11.72332943,473.7,14.25085225,14.90582922,14,12.3,,,10,2.861403245,,2.215691772,2.942338575,2.941253596,2.838382202,,2.096278327,2.891389068,2.917326735,52.45352537,54.43009795,42.73634751,49.3,66.49464296,19.8806091,4.733744265,5.001819322,20.72153813,36.1,7.2,27.5,15.4625007,94.7,53,5.315637464,18.7,102917,18536,5.552276651,32.14876945,11.59862648,0
22013,Bienville Parish,13308,34047,22.36248873,20.9272618,41.47129546,0.443342351,0.338142471,0,1.946197776,54.55365194,0.272840661,74.4,9.7,0.560710203,0.010786417,1637,81,60.86564472,41,39,0,716,547,261,69.68048946,52.35602094,0,502,15.67199515,16.44283473,23.9,18.8,,,9,2.793611722,,2.512744377,,3.10777426,2.667563501,,2.190646877,,3.12713731,63.64444444,40.9860367,41.29444995,52.1,79.83696788,23.67248002,5.008094591,5.238998882,21.61238746,45.3,6.1,25.8,21.41712534,89.6,43,5.837742504,36.3,77848,11874,6.556173151,53.1361716,10.97560976,1
22015,Bossier Parish,127185,56754,24.83704839,14.34131383,22.46098203,0.632150018,1.911388922,0.144671148,6.765734953,66.2365845,0.76714994,77.9,10.3,0.582613265,0.018283774,13415,290,22.80143099,78,206,5,3581,7853,1482,27.72741815,22.65030567,7.090187181,464.1,13.15980809,14.34224919,11.7,13.3,42,11.02721096,9,3.020336357,3.866379428,2.478697712,2.616377043,3.28990485,2.920893541,3.799557086,2.364423048,2.524474423,3.202658113,38.24404101,35.52105252,31.90030595,50.5,24.34197591,18.60148107,4.308725481,4.803746478,18.88651436,30.8,7.5,27,76.33848811,83.3,68,4.276292954,20.2,105991,23330,4.543120446,36.78201356,14.71424061,0
22017,Caddo Parish,242922,40467,23.68538049,17.12730835,49.39527914,0.502630474,1.275306477,0.062571525,2.883641663,44.55874725,0.49239343,74.9,10.3,0.57871072,0.020006073,25278,726,29.88613629,395,321,7,12686,9851,1842,32.52527914,27.86240658,5.978817902,476.6,15.21152834,16.12362734,13,19.7,89,12.05383867,9,2.674084406,3.911681304,2.4038788,2.647995134,3.245410825,2.559098964,3.972009354,2.298060113,2.643300725,3.078778813,52.64623263,60.43474992,57.62253007,52.7,14.43508819,22.87532921,4.89654426,5.211094368,21.92398045,39.9,5.8,30.8,85.18565002,73.8,57,5.488747638,35.6,90897,16180,5.617861558,53.42022852,17.25216678,0
22019,Calcasieu Parish,203112,50531,24.89562409,14.7982394,25.37220844,0.582929615,1.355902162,0.060557722,3.774272323,67.17131435,0.704970796,75.1,9.5,0.780037549,0.022998911,21664,401,19.742802,108,286,2,5244,12935,1780,21.65022853,20.34501156,2.056978299,486.8,13.31844657,14.31875993,11.3,13.6,81,13.36285259,9,2.857216776,3.269317032,2.526787306,2.899460752,3.046213953,2.812524216,3.3556698,2.428371332,2.972851823,3.033619997,45.73859512,64.84067714,59.32704602,51.1,20.50029051,19.3264506,4.358078138,4.551473312,20.24588838,35.4,7.3,29.8,74.74528968,84,58,3.817870729,21.1,104598,20545,5.091165734,39.76660139,12.94086797,0
