FIPS,parish_name,Population,Median_Household_Income,Percent_less_18_yo,Percent_65_over,Percent_Black,Percent_American_Indian_Alaska_Native,Percent_Asian,Percent_Native_Hawaiian_Other_Pacific_Islander,Percent_Hispanic,Percent_Non_Hispanic_White,Percent_Not_Proficient_in_English,Life_Expectancy,Average_Daily_PM2_5,Weighted_RH_Ave,Weighted_IH_Ave,COVID19_Cases,COVID19_Deaths,Deaths_per_10000,Deaths_Black,Deaths_White,Deaths_Other,Cases_Black,Cases_White,Cases_Other,Black_Population,Black_Deaths_per_10000,White_Population,White_Deaths_per_10000,Other_Population,Other_Deaths_per_10000,Age_Adjusted_Cancer_Incidence_Rate_cases_per_100k,Percent_Frequent_Physical_Distress,Percent_Frequent_Mental_Distress,Percent_Adults_with_Diabetes,Percent_Food_Insecure,Percent_Limited_Access_Healthy_Foods,Number_Drug_Overdose_Deaths,Drug_Overdose_Mortality_Rate,Percent_Uninsured,Ave_Grade_Performance_Reading,Average_Grade_Performance_Math,Segregation_Index_black_white,Segregation_Index_nonwhite_white,Percent_Female,Percent_Rural,Percent_Fair_or_Poor_Health,Average_Number_of_Physically_Unhealthy_Days,Average_Number_of_Mentally_Unhealthy_Days,Percent_Smokers,Percent_Adults_with_Obesity,Food_Environment_Index,Percent_Physically_Inactive,Percent_With_Access_to_Exercise_Opportunities,High_School_Graduation_Rate,Percent_some_college,Percent_Unemployed,Percent_Children_in_Poverty,Eightyth_Percentile_Income,twentyth_Percentile_Income,Income_Ratio,Percent_Single_Parent_Households,Percent_Severe_Housing_Problems,Cancer_Alley,PM_2_5_Total_Emissions,PM_2_5_per_person,PM_2_5_per_km_2
22001,Acadia Parish,62190,40484,25.84659913,15.26129603,17.92571153,0.384306159,0.319987136,0.032159511,2.727126548,77.26804953,1.24554854,75.44069565,9.4,0.564066401,0.010697736,6333,191,30.71233317,40,147,3,1343,3267,1150,11139,35.90986624,49471,29.71437812,1958,15.32175689,495.5,14.75431307,15.67534089,11.4,15.1,0.601998005,20,10.67093504,10.66580723,3.037877431,3.020822017,47.9413646,44.87723456,51.2108056,51.69896233,20.89003532,4.804191946,4.996099567,21.53408807,38.4,7.8,35.3,42.5250514,90.9,43.55991148,5.373246493,35.4,95846,16512,5.804626938,33.41538462,12.27102185,0,1344.155499,0.021613692,0.789282802
22003,Allen Parish,25605,44395,22.04256981,15.01269283,22.31595392,2.319859403,0.667838313,0.035149385,2.25346612,70.97051357,1.821433027,74.94404085,9.2,0.631587354,0.009805207,3107,91,35.53993361,19,70,2,664,1604,516,4878,38.9503895,18903,37.03115908,1880,10.63829787,487.6,13.97128548,14.88201172,19.2,12.9,11.54855301,11,14.30243141,9.327585242,3.269036499,2.982317044,38.82998345,39.51041723,43.30794767,69.42244993,21.31215351,4.607418733,4.941984704,22.03898763,37,7.3,40.7,73.18739326,92.3,44.72949621,5.623861567,22.7,86633,17063,5.077243158,38.0159556,11.48477157,0,970.237321,0.037892494,0.488970092
22005,Ascension Parish,124672,77758,26.7670367,11.81821099,23.23536961,0.466022844,1.406891684,0.085825205,5.743069815,68.14280673,1.09782657,78.73367625,10,0.679779738,0.019017918,11704,162,12.99409651,66,91,4,3042,7120,992,26398,25.00189408,88396,10.29458347,6382,6.267627703,473.5,12.28177307,12.93342567,13.2,10.2,8.098313345,91,24.64742001,7.06536831,3.1189289,2.947069708,42.70645838,37.35698791,50.62644379,13.21643427,16.66091447,4.100894136,4.302130303,18.1554528,33.1,8.1,30.8,72.70624446,88.1,67.61849205,4.142650725,14.2,138775,28629,4.847357575,31.41947726,10.83241116,1,2738.036025,0.021961916,3.492460564
22007,Assumption Parish,22300,48120,21.48878924,18.02690583,29.38116592,0.757847534,0.430493274,0.067264574,3.143497758,65.44843049,0.884296751,77.63245886,9.3,0.572153494,0.012786491,2149,35,15.69506726,16,19,0,791,1248,97,6807,23.50521522,15439,12.30649653,468,,490,14.22997282,15.26705394,16.3,14.7,14.31355542,13,19.25326935,10.26834019,2.759845736,2.72128688,50.79217958,45.61022981,51.48430493,44.99380898,21.59669348,4.746825567,5.006212054,21.03219722,42.1,6.7,34.1,35.36996712,89.7,37.80150985,6.665921038,28.7,99098,17223,5.75381757,45.88423793,9.913544669,0,1133.389361,0.050824635,1.182936906
22009,Avoyelles Parish,40462,37731,23.5900351,16.92946468,29.55612674,1.183826801,0.642578222,0.017300183,1.987049577,64.98195838,0.451609515,73.79999438,9.2,0.50132947,0.009174141,4027,122,30.15174732,42,80,0,1389,1946,473,11769,35.68697425,27130,29.48765205,1983,,443.7,15.67348346,16.29730591,13.1,17.4,9.34071573,22,17.95053811,10.24202034,2.575497897,2.510501687,33.08227584,30.19340826,49.56255252,63.78199796,24.49473427,5.151702069,5.331022532,22.94656752,44.7,6.6,35.8,24.35766406,79.3,41.7151982,5.720629531,36.9,88221,14227,6.200955929,44.41431105,13.58641359,0,1130.68652,0.027944405,0.504324668
22011,Beauregard Parish,37253,57005,24.61009852,15.75980458,12.01513972,1.234799882,0.657665155,0.118111293,3.817142244,80.21367407,0.25919562,74.38084065,9.4,0.65726698,0.010902579,3075,74,19.86417201,10,61,2,333,1898,458,4580,21.83406114,30483,20.01115376,1706,11.72332943,473.7,14.25085225,14.90582922,14,12.3,13.79546261,,,9.539046095,2.861403245,2.838382202,54.43009795,42.73634751,49.29804311,66.49464296,19.8806091,4.733744265,5.001819322,20.72153813,36.1,7.2,27.5,15.4625007,94.7,53.0787135,5.315637464,18.7,102917,18536,5.552276651,32.14876945,11.59862648,0,1399.46249,0.037566437,0.463429315
22013,Bienville Parish,13308,34047,22.36248873,20.9272618,41.47129546,0.443342351,0.338142471,0,1.946197776,54.55365194,0.272840661,74.4216978,9.7,0.560710203,0.010786417,1637,81,60.86564472,41,39,0,716,547,261,5884,69.68048946,7449,52.35602094,335,,502,15.67199515,16.44283473,23.9,18.8,12.23731061,,,8.962832515,2.793611722,2.667563501,40.9860367,41.29444995,52.05139766,79.83696788,23.67248002,5.008094591,5.238998882,21.61238746,45.3,6.1,25.8,21.41712534,89.6,43.13919052,5.837742504,36.3,77848,11874,6.556173151,53.1361716,10.97560976,0,647.9736765,0.048690538,0.304306769
22015,Bossier Parish,127185,56754,24.83704839,14.34131383,22.46098203,0.632150018,1.911388922,0.144671148,6.765734953,66.2365845,0.76714994,77.90639987,10.3,0.582613265,0.018283774,13415,290,22.80143099,78,206,5,3581,7853,1482,28131,27.72741815,90948,22.65030567,7052,7.090187181,464.1,13.15980809,14.34224919,11.7,13.3,7.929134756,42,11.02721096,8.748248959,3.020336357,2.920893541,35.52105252,31.90030595,50.52954358,24.34197591,18.60148107,4.308725481,4.803746478,18.88651436,30.8,7.5,27,76.33848811,83.3,67.83637123,4.276292954,20.2,105991,23330,4.543120446,36.78201356,14.71424061,0,1177.191368,0.009255741,0.524291794
22017,Caddo Parish,242922,40467,23.68538049,17.12730835,49.39527914,0.502630474,1.275306477,0.062571525,2.883641663,44.55874725,0.49239343,74.90331285,10.3,0.57871072,0.020006073,25278,726,29.88613629,395,321,7,12686,9851,1842,121444,32.52527914,115209,27.86240658,11708,5.978817902,476.6,15.21152834,16.12362734,13,19.7,14.14047328,89,12.05383867,8.648804752,2.674084406,2.559098964,60.43474992,57.62253007,52.67246277,14.43508819,22.87532921,4.89654426,5.211094368,21.92398045,39.9,5.8,30.8,85.18565002,73.8,56.99505104,5.488747638,35.6,90897,16180,5.617861558,53.42022852,17.25216678,0,2455.965688,0.0101101,1.011971459
22019,Calcasieu Parish,203112,50531,24.89562409,14.7982394,25.37220844,0.582929615,1.355902162,0.060557722,3.774272323,67.17131435,0.704970796,75.13583341,9.5,0.780037549,0.022998911,21664,401,19.742802,108,286,2,5244,12935,1780,49884,21.65022853,140575,20.34501156,9723,2.056978299,486.8,13.31844657,14.31875993,11.3,13.6,9.295143303,81,13.36285259,8.8325142,2.857216776,2.812524216,64.84067714,59.32704602,51.10431683,20.50029051,19.3264506,4.358078138,4.551473312,20.24588838,35.4,7.3,29.8,74.74528968,84,57.52834552,3.817870729,21.1,104598,20545,5.091165734,39.76660139,12.94086797,0,4929.716773,0.024270928,1.739569558
