FIPS,parish_name,Population,Median_Household_Income,Percent_65_over,Percent_Black,Percent_Non_Hispanic_White,Weighted_RH_Ave,Weighted_IH_Ave,covid_deaths_2020,covid_deaths_per_10k_2020,covid_deaths_2021,covid_deaths_july_2020,covid_deaths_july_2020_10k,covid_deaths_per_10k_2021,Black_Deaths_per_10k_2021,White_Deaths_per_10k_2021,Other_Deaths_per_10k_2021,Age_Adjusted_Cancer_Incidence_Rate_cases_per_100k,Percent_Adults_with_Diabetes,Percent_Uninsured,Segregation_Index_black_white,Percent_Female,Percent_Rural,Percent_Fair_or_Poor_Health,Percent_Smokers,Percent_Adults_with_Obesity,twentyth_Percentile_Income,Cancer_Alley,PM_2_5_Total_Emissions,PM_2_5_per_km_2,Average_Daily_PM2_5,RSEI_score,RSEI_rank_compared_to_all_risk_screening_score,RSEI_rank_compared_to_all_hazard,RSEI_rank_compared_to_all_pouds_emitted,TRI_Facilities,Total_On_Off_site_releases_and_disposal_pounds,Total_On_Site_Air_pounds
22001,Acadia Parish,62045,40484,15.26129603,17.92571153,77.26804953,0.564066401,0.010697736,153,24.65952132,191,48,7.736320413,30.78410831,36.80761289,29.71437812,15.32175689,495.5,11.4,10.66580723,47.9413646,51.2108056,51.69896233,20.89003532,21.53408807,38.4,16512,0,1344.155499,0.789282802,9.4,4.32,1914.00,1996.00,1757.00,2.00,4500.00,4500.00
22003,Allen Parish,25627,44395,15.01269283,22.31595392,70.97051357,0.631587354,0.009805207,71,27.70515472,91,14,5.462988255,35.50942365,38.9503895,37.03115908,10.63829787,487.6,19.2,9.327585242,38.82998345,43.30794767,69.42244993,21.31215351,22.03898763,37,17063,0,970.237321,0.488970092,9.2,5.55,1887.00,1696.00,1198.00,3.00,49300.00,47400.00
22005,Ascension Parish,126604,77758,11.81821099,23.23536961,68.14280673,0.679779738,0.019017918,117,9.241414173,164,64,5.055132539,12.95377713,25.38071066,10.29458347,6.267627703,473.5,13.2,7.06536831,42.70645838,50.62644379,13.21643427,16.66091447,18.1554528,33.1,28629,1,2738.036025,3.492460564,10,5443264.46,12.00,6.00,3.00,22.00,27200000.00,13200000.00
22007,Assumption Parish,21891,48120,18.02690583,29.38116592,65.44843049,0.572153494,0.012786491,28,12.79064456,36,17,7.765748481,16.44511443,24.97429117,12.30649653,,490,16.3,10.26834019,50.79217958,51.48430493,44.99380898,21.59669348,21.03219722,42.1,17223,0,1133.389361,1.182936906,9.3,0.94,2044.00,2079.00,2194.00,2.00,113.00,3.00
22009,Avoyelles Parish,40144,37731,16.92946468,29.55612674,64.98195838,0.50132947,0.009174141,90,22.41929055,123,18,4.483858111,30.63969709,35.68697425,29.48765205,,443.7,13.1,10.24202034,33.08227584,49.56255252,63.78199796,24.49473427,22.94656752,44.7,14227,0,1130.68652,0.504324668,9.2,,,,,1.00,0.00,0.00
22011,Beauregard Parish,37497,57005,15.75980458,12.01513972,80.21367407,0.65726698,0.010902579,54,14.40115209,75,9,2.400192015,20.00160013,21.83406114,20.33920546,11.72332943,473.7,14,9.539046095,54.43009795,49.29804311,66.49464296,19.8806091,20.72153813,36.1,18536,0,1399.46249,0.463429315,9.4,8189.43,737.00,701.00,245.00,4.00,981600.00,667300.00
22013,Bienville Parish,13241,34047,20.9272618,41.47129546,54.55365194,0.560710203,0.010786417,47,35.49580847,81,28,21.14643909,61.17362737,71.3800136,52.35602094,,502,23.9,8.962832515,40.9860367,52.05139766,79.83696788,23.67248002,21.61238746,45.3,11874,0,647.9736765,0.304306769,9.7,116.19,1573.00,1557.00,324.00,3.00,187800.00,2000.00
22015,Bossier Parish,127039,56754,14.34131383,22.46098203,66.2365845,0.582613265,0.018283774,199,15.66448099,293,43,3.384787349,23.06378356,28.08289787,22.65030567,7.090187181,464.1,11.7,8.748248959,35.52105252,50.52954358,24.34197591,18.60148107,18.88651436,30.8,23330,0,1177.191368,0.524291794,10.3,,,,,4.00,2500.00,1600.00
22017,Caddo Parish,240204,40467,17.12730835,49.39527914,44.55874725,0.57871072,0.020006073,517,21.5233718,736,255,10.61597642,30.64062214,32.93699154,28.20960168,5.978817902,476.6,13,8.648804752,60.43474992,52.67246277,14.43508819,22.87532921,21.92398045,39.9,16180,0,2455.965688,1.011971459,10.3,175837.57,222.00,238.00,448.00,21.00,1600000.00,445700.00
22019,Calcasieu Parish,203436,50531,14.7982394,25.37220844,67.17131435,0.780037549,0.022998911,285,14.00931988,418,75,3.686663127,20.5470025,22.45208885,21.19864841,2.056978299,486.8,11.3,8.8325142,64.84067714,51.10431683,20.50029051,19.3264506,20.24588838,35.4,20545,0,4929.716773,1.739569558,9.5,1030165.01,74.00,31.00,12.00,28.00,17700000.00,5900000.00
