FIPS,parish_name,Population,Median Household Income,Percent 65 and over,Percent Black,Respiratory Hazard (RH) Weighted Ave,Immunological Hazard (IH) Weighted Ave,First Wave of Covid Deaths per 10k,Second Wave of Covid Deaths per 10k,Third Wave of Covid Deaths per 10k,Current Covid Deaths per 10k thru 4/28/21,Percent Rural,Percent Smokers,Cancer Alley,Toxic Release Inventory (TRI) Facilities,TRI Total On Site Air Release (pounds)
22001,Acadia Parish,62045,40484,15.26129603,17.92571153,0.564066401,0.010697736,5.963413651,10.47626723,14.34442743,30.78410831,51.69896233,21.53408807,0,2,4500
22003,Allen Parish,25627,44395,15.01269283,22.31595392,0.631587354,0.009805207,3.902134468,20.68131268,10.92597651,35.50942365,69.42244993,22.03898763,0,3,47400
22005,Ascension Parish,126604,77758,11.81821099,23.23536961,0.679779738,0.019017918,4.581213864,3.317430729,5.055132539,12.95377713,13.21643427,18.1554528,1,22,13200000
22007,Assumption Parish,21891,48120,18.02690583,29.38116592,0.572153494,0.012786491,6.852131013,4.111278608,5.48170481,16.44511443,44.99380898,21.03219722,0,2,3
22009,Avoyelles Parish,40144,37731,16.92946468,29.55612674,0.50132947,0.009174141,3.487445197,11.95695496,15.19529693,30.63969709,63.78199796,22.94656752,0,1,0
22011,Beauregard Parish,37497,57005,15.75980458,12.01513972,0.65726698,0.010902579,2.133504014,8.534016055,9.33408006,20.00160013,66.49464296,20.72153813,0,4,667300
22013,Bienville Parish,13241,34047,20.9272618,41.47129546,0.560710203,0.010786417,20.39120912,6.04183974,34.74057851,61.17362737,79.83696788,21.61238746,0,3,2000
22015,Bossier Parish,127039,56754,14.34131383,22.46098203,0.582613265,0.018283774,2.440195531,7.163154622,13.5391494,23.14249955,24.34197591,18.88651436,0,4,1600
22017,Caddo Parish,240204,40467,17.12730835,49.39527914,0.57871072,0.020006073,9.783350818,6.702636093,14.15463523,30.64062214,14.43508819,21.92398045,0,21,445700
22019,Calcasieu Parish,203436,50531,14.7982394,25.37220844,0.780037549,0.022998911,2.900174994,8.405591931,9.388702098,20.69446902,20.50029051,20.24588838,0,28,5900000
22021,Caldwell Parish,9918,40842,17.76104418,15.81325301,0.529007391,0.008580187,1.008267796,2.016535592,26.21496269,29.23976608,100,23.44471506,0,1,0
22023,Cameron Parish,6973,57299,16.48966705,3.989667049,0.705281697,0.012622525,0,2.868205937,5.736411874,8.604617812,100,18.68357793,0,2,781
22025,Catahoula Parish,9494,35812,17.47502082,30.50582848,0.47578572,0.008513361,3.159890457,12.63956183,24.22582684,40.02527912,100,22.54061383,0,,
22027,Claiborne Parish,15670,33659,19.10436528,51.60561967,0.543826915,0.00878916,6.381620932,10.21059349,18.5067007,35.09891512,82.35533585,26.25988,0,1,50
22029,Concordia Parish,19259,35840,17.26445943,39.55139996,0.465878292,0.009713111,3.115426554,5.19237759,22.84646139,31.15426554,33.45499952,24.56815675,0,1,16
22031,De Soto Parish,27463,44457,17.85245663,35.74136172,0.566085738,0.017816008,6.554273022,6.190146743,15.29330372,28.03772348,77.26215486,22.02719112,0,2,3900000
22033,East Baton Rouge Parish,440059,52945,14.1800996,46.5320803,0.822223127,0.022704683,6.158265142,4.272154416,7.56716713,17.99758669,6.875964114,18.26994701,1,25,3900000
22035,East Carroll Parish,6861,27714,14.76481455,68.01193691,0.433166218,0.008103622,1.457513482,7.28756741,27.69275616,36.43783705,34.57919835,31.84808676,0,0,0
22037,East Feliciana Parish,19135,45174,17.72079772,42.48640249,0.587327563,0.011710093,17.2458845,23.51711523,17.76848707,58.5314868,100,20.67579669,0,0,0
22039,Evangeline Parish,33395,34113,15.33056245,27.35101516,0.560090213,0.010089569,0.299446025,11.67839497,15.57119329,27.54903429,61.09345574,24.47897413,0,2,257600
22041,Franklin Parish,20015,34446,17.88549315,31.51418932,0.470150542,0.008630469,6.994753935,16.48763427,28.9782663,52.46065451,74.18500506,23.51562547,0,0,0
22043,Grant Parish,22389,43502,15.21216974,15.22551374,0.600502617,0.009309061,0.446647907,12.95278932,11.16619769,24.56563491,85.59325833,22.53944226,0,3,20
22045,Iberia Parish,69830,42909,14.98146347,32.11260061,0.593561252,0.014681646,6.301016755,7.589861091,7.876270944,21.76714879,28.13626434,21.2427822,0,12,95500
22047,Iberville Parish,32511,47917,15.83386816,48.25952752,0.851857429,0.017307648,13.22629264,5.536587616,11.38076343,30.14364369,59.21466439,20.99325181,1,22,6300000
22049,Jackson Parish,15744,40828,19.90944535,28.4240976,0.577895725,0.010115832,10.16260163,5.081300813,16.51422764,31.75813008,65.53398058,21.81700724,0,1,678800
22051,Jefferson Parish,432493,50871,17.12471576,26.81873789,0.534266753,0.02461944,11.21405433,2.404663197,6.936528452,20.55524598,1.142521593,18.74366959,1,14,514400
22053,Jefferson Davis Parish,31368,44492,16.33525426,16.420746,0.537124255,0.00958186,2.869166029,11.15786789,15.62101505,29.64804897,50.69949991,21.03167682,0,2,281
22055,Lafayette Parish,244390,57821,13.20814558,26.36851167,0.555403667,0.018783907,1.841319203,3.887229428,5.483039404,11.21158804,8.318515376,17.79862664,0,14,25500
22057,Lafourche Parish,97614,52651,15.45940988,13.3720634,0.585720115,0.013307053,9.117544615,4.302661503,7.375991149,20.79619727,24.21665732,19.22475825,0,11,61400
22059,La Salle Parish,14892,45742,16.92029228,11.97291681,0.538361108,0.009870621,0,6.715014773,17.45903841,24.17405318,73.19006044,22.66483009,0,2,29700
22061,Lincoln Parish,46742,36525,13.55199593,40.29578778,0.579601546,0.011790772,3.850926362,6.84609131,8.985494844,19.68251252,40.6782925,20.97949762,0,7,77700
22063,Livingston Parish,140789,63088,13.19939527,6.546676507,0.653497652,0.015487276,2.699074502,2.983187607,8.736477992,14.4187401,41.11664818,21.60431621,0,4,38600
22065,Madison Parish,10951,28452,14.38939163,62.44064152,0.53099054,0.010209514,1.826317231,6.39211031,27.39475847,35.61318601,22.44273547,27.63817016,0,1,4200
22067,Morehouse Parish,24874,34023,18.75344515,47.73997953,0.517041169,0.009110946,3.216209697,7.63849803,18.49320576,29.34791348,50.03752815,22.6412886,0,2,25300
22069,Natchitoches Parish,38158,36298,16.59380739,40.98140149,0.585890259,0.009804381,3.668955396,4.193091881,14.41375334,22.27580062,50.05054845,23.70099409,0,6,912900
