FIPS,Parish Name,First Wave of Covid Deaths per 10k,Second Wave of Covid Deaths per 10k,Third Wave of Covid Deaths per 10k,Fourth Wave of Covid Deaths per 10k,Covid Deaths per 10k thru 9/28/21,Population,Median Household Income,Percent 65 and over,Percent Black,Poverty Rate,Percent Rural,Respiratory Hazard (RH) Weighted Ave,TRI Total On Site Air Release (pounds),Cancer Alley
22001,Acadia Parish,5.963413651,10.47626723,14.34442743,7.413973729,38.19808204,62045,40484,15.26129603,17.92571153,20.3,51.69896233,0.564066401,4500,0
22003,Allen Parish,3.902134468,20.68131268,10.92597651,5.072774808,40.58219846,25627,44395,15.01269283,22.31595392,21.6,69.42244993,0.631587354,47400,0
22005,Ascension Parish,4.581213864,3.317430729,5.055132539,5.055132539,18.00890967,126604,77758,11.81821099,23.23536961,9.6,13.21643427,0.679779738,13200000,1
22007,Assumption Parish,6.852131013,4.111278608,5.48170481,8.679365949,25.12448038,21891,48120,18.02690583,29.38116592,18.8,44.99380898,0.572153494,3,0
22009,Avoyelles Parish,3.487445197,11.95695496,15.19529693,11.95695496,42.59665205,40144,37731,16.92946468,29.55612674,24.4,63.78199796,0.50132947,0,0
22011,Beauregard Parish,2.133504014,8.534016055,9.33408006,9.867456063,30.40243219,37497,57005,15.75980458,12.01513972,14.3,66.49464296,0.65726698,667300,0
22013,Bienville Parish,20.39120912,6.04183974,34.74057851,7.552299675,68.72592704,13241,34047,20.9272618,41.47129546,24.4,79.83696788,0.560710203,2000,0
22015,Bossier Parish,2.440195531,7.163154622,13.5391494,6.218562804,29.51849432,127039,56754,14.34131383,22.46098203,16.4,24.34197591,0.582613265,1600,0
22017,Caddo Parish,9.783350818,6.702636093,14.15463523,7.118948893,37.88446487,240204,40467,17.12730835,49.39527914,24.1,14.43508819,0.57871072,445700,0
22019,Calcasieu Parish,2.900174994,8.405591931,9.388702098,7.22585973,28.06779528,203436,50531,14.7982394,25.37220844,18.9,20.50029051,0.780037549,5900000,0
22021,Caldwell Parish,1.008267796,2.016535592,26.21496269,8.066142367,37.30590845,9918,40842,17.76104418,15.81325301,19.5,100,0.529007391,0,0
